"","location","geo","year","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred"
"27067","High income","OWID_HIC",2020,2020-12-01,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"27068","High income","OWID_HIC",2020,2020-12-02,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0
"27069","High income","OWID_HIC",2020,2020-12-03,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0
"27070","High income","OWID_HIC",2020,2020-12-04,1,2,NA,NA,1,0,0,0,NA,NA,0,0,0
"27071","High income","OWID_HIC",2020,2020-12-05,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0
"27072","High income","OWID_HIC",2020,2020-12-06,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0
"27073","High income","OWID_HIC",2020,2020-12-07,2,3,NA,NA,1,0,0,0,NA,NA,0,0,0
"27074","High income","OWID_HIC",2020,2020-12-08,7,9,NA,NA,5,1,0,0,NA,NA,0,1,0
"27075","High income","OWID_HIC",2020,2020-12-09,9,11,NA,NA,2,1,0,0,NA,NA,0,1,0
"27076","High income","OWID_HIC",2020,2020-12-10,10,12,NA,NA,1,1,0,0,NA,NA,0,2,0
"27077","High income","OWID_HIC",2020,2020-12-11,14,16,NA,NA,4,2,0,0,NA,NA,0,2,0
"27078","High income","OWID_HIC",2020,2020-12-12,14,16,NA,NA,0,2,0,0,NA,NA,0,2,0
"27079","High income","OWID_HIC",2020,2020-12-13,24071,20379,4323,NA,24057,3439,0,0,0,NA,3,2911,0
"27080","High income","OWID_HIC",2020,2020-12-14,28499,24668,4422,NA,4428,4071,0,0,0,NA,3,3524,0
"27081","High income","OWID_HIC",2020,2020-12-15,80042,73988,4646,NA,51543,11434,0.01,0.01,0,NA,9,10568,0.001
"27082","High income","OWID_HIC",2020,2020-12-16,243741,232229,5064,NA,163699,34819,0.02,0.02,0,NA,29,33174,0.003
"27083","High income","OWID_HIC",2020,2020-12-17,521648,503092,5684,NA,277907,74520,0.04,0.04,0,NA,61,71869,0.006
"27084","High income","OWID_HIC",2020,2020-12-18,942443,915073,6725,NA,420795,134633,0.08,0.08,0,NA,111,130722,0.011
"27085","High income","OWID_HIC",2020,2020-12-19,1125567,1094198,7718,NA,183124,160793,0.09,0.09,0,NA,132,156312,0.013
"27086","High income","OWID_HIC",2020,2020-12-20,1238602,1205290,8410,NA,113035,173504,0.1,0.1,0,NA,143,169273,0.014
"27087","High income","OWID_HIC",2020,2020-12-21,1653253,1613429,9568,NA,414651,232108,0.14,0.13,0,NA,191,226966,0.019
"27088","High income","OWID_HIC",2020,2020-12-22,2154121,2105787,11983,NA,500868,296297,0.18,0.17,0,NA,244,290257,0.024
"27089","High income","OWID_HIC",2020,2020-12-23,2845285,2784802,14241,NA,691164,371649,0.23,0.23,0,NA,306,364653,0.03
"27090","High income","OWID_HIC",2020,2020-12-24,3138575,3073035,15233,NA,293290,373847,0.26,0.25,0,NA,308,367135,0.03
"27091","High income","OWID_HIC",2020,2020-12-25,3198010,3132328,15326,NA,59435,322224,0.26,0.26,0,NA,265,316751,0.026
"27092","High income","OWID_HIC",2020,2020-12-26,3377973,3308666,16038,NA,179963,321772,0.28,0.27,0,NA,265,316353,0.026
"27093","High income","OWID_HIC",2020,2020-12-27,3633982,3567408,16686,NA,256009,342197,0.3,0.29,0,NA,282,337445,0.028
"27094","High income","OWID_HIC",2020,2020-12-28,4410499,4329097,19951,NA,776517,393892,0.36,0.36,0,NA,324,387953,0.032
