"","Continent","geo.x","year","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","geo.y","Income per person","GDP total","GDP per capita growth (%)","geo","Population"
"1","Africa","OWID_AFR",2021,2021-01-09,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"africa",4698,6443655202262,1.5,"africa",1371687302
"2","Africa","OWID_AFR",2021,2021-01-10,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,0,500,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"3","Africa","OWID_AFR",2021,2021-01-11,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,0,500,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"4","Africa","OWID_AFR",2021,2021-01-12,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,0,500,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"5","Africa","OWID_AFR",2021,2021-01-13,2000,2000,NA,NA,NA,500,0,0,NA,NA,0,500,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"6","Africa","OWID_AFR",2021,2021-01-14,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,0,600,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"7","Africa","OWID_AFR",2021,2021-01-15,4000,4000,NA,NA,NA,667,0,0,NA,NA,0,667,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"8","Africa","OWID_AFR",2021,2021-01-16,7000,7000,NA,NA,3000,1000,0,0,NA,NA,1,1000,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"9","Africa","OWID_AFR",2021,2021-01-17,NA,NA,NA,NA,NA,1118,NA,NA,NA,NA,1,1118,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"10","Africa","OWID_AFR",2021,2021-01-18,NA,NA,NA,NA,NA,1236,NA,NA,NA,NA,1,1236,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"11","Africa","OWID_AFR",2021,2021-01-19,10976,10976,NA,NA,NA,1354,0,0,NA,NA,1,1354,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"12","Africa","OWID_AFR",2021,2021-01-20,13163,13163,NA,NA,2187,1595,0,0,NA,NA,1,1595,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"13","Africa","OWID_AFR",2021,2021-01-21,NA,NA,NA,NA,NA,1718,NA,NA,NA,NA,1,1718,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"14","Africa","OWID_AFR",2021,2021-01-22,16890,16890,NA,NA,NA,1841,0,0,NA,NA,1,1841,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"15","Africa","OWID_AFR",2021,2021-01-23,18353,18353,NA,NA,1463,1622,0,0,NA,NA,1,1622,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"16","Africa","OWID_AFR",2021,2021-01-24,18353,18353,NA,NA,0,1433,0,0,NA,NA,1,1433,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"17","Africa","OWID_AFR",2021,2021-01-25,19889,19889,NA,NA,1536,1463,0,0,NA,NA,1,1463,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"18","Africa","OWID_AFR",2021,2021-01-26,22712,22712,NA,NA,2823,1677,0,0,NA,NA,1,1677,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"19","Africa","OWID_AFR",2021,2021-01-27,25587,25587,NA,NA,2875,1775,0,0,NA,NA,1,1775,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"20","Africa","OWID_AFR",2021,2021-01-28,28779,28779,NA,NA,3192,1965,0,0,NA,NA,1,1965,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"21","Africa","OWID_AFR",2021,2021-01-29,30861,30861,NA,NA,2082,1996,0,0,NA,NA,1,1996,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"22","Africa","OWID_AFR",2021,2021-01-30,122206,32206,NA,NA,91345,14836,0.01,0,NA,NA,11,1979,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"23","Africa","OWID_AFR",2021,2021-01-31,158206,32206,NA,NA,36000,19979,0.01,0,NA,NA,15,1979,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"24","Africa","OWID_AFR",2021,2021-02-01,236712,36631,NA,NA,78506,30975,0.02,0,NA,NA,23,2392,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"25","Africa","OWID_AFR",2021,2021-02-02,295127,37836,NA,NA,58415,38916,0.02,0,NA,NA,28,2161,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"26","Africa","OWID_AFR",2021,2021-02-03,347149,38746,5,NA,52022,45937,0.03,0,0,NA,33,1880,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"27","Africa","OWID_AFR",2021,2021-02-04,390474,38746,5,NA,43325,51671,0.03,0,0,NA,38,1424,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"28","Africa","OWID_AFR",2021,2021-02-05,446986,38746,5,NA,56512,59446,0.03,0,0,NA,43,1126,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"29","Africa","OWID_AFR",2021,2021-02-06,504800,39248,1586,NA,57814,54656,0.04,0,0,NA,40,1006,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"30","Africa","OWID_AFR",2021,2021-02-07,NA,NA,NA,NA,NA,55849,NA,NA,NA,NA,41,1015,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"31","Africa","OWID_AFR",2021,2021-02-08,593502,39373,3980,NA,NA,50970,0.04,0,0,NA,37,392,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"32","Africa","OWID_AFR",2021,2021-02-09,661263,39382,6700,NA,67761,52305,0.05,0,0,NA,38,221,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"33","Africa","OWID_AFR",2021,2021-02-10,795836,39385,10335,NA,134573,64098,0.06,0,0,NA,47,91,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"34","Africa","OWID_AFR",2021,2021-02-11,908796,39611,13867,NA,112960,74046,0.07,0,0,NA,54,124,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"35","Africa","OWID_AFR",2021,2021-02-12,1165581,39611,13867,NA,256785,102656,0.08,0,0,NA,75,124,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"36","Africa","OWID_AFR",2021,2021-02-13,1446178,43458,14181,NA,280597,134483,0.11,0,0,NA,98,601,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"37","Africa","OWID_AFR",2021,2021-02-14,NA,NA,NA,NA,NA,151062,NA,NA,NA,NA,110,593,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"38","Africa","OWID_AFR",2021,2021-02-15,1766999,43467,16441,NA,NA,167642,0.13,0,0,NA,122,585,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"39","Africa","OWID_AFR",2021,2021-02-16,1965819,43474,18176,NA,198820,186365,0.14,0,0,NA,136,585,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"40","Africa","OWID_AFR",2021,2021-02-17,2147659,47134,19512,NA,181840,193118,0.16,0,0,NA,141,1107,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"41","Africa","OWID_AFR",2021,2021-02-18,2304003,50215,22925,NA,156344,199315,0.17,0,0,NA,145,1515,0,"africa",4698,6443655202262,1.5,"africa",1371687302
"42","Africa","OWID_AFR",2021,2021-02-19,2514038,2487572,32990,NA,210035,192637,0.18,0.18,0,NA,140,349709,0.025,"africa",4698,6443655202262,1.5,"africa",1371687302
"43","Africa","OWID_AFR",2021,2021-02-20,2616970,2581895,45489,NA,102932,167256,0.19,0.19,0,NA,122,362634,0.026,"africa",4698,6443655202262,1.5,"africa",1371687302
"44","Africa","OWID_AFR",2021,2021-02-21,2623735,2588660,50463,NA,6765,145307,0.19,0.19,0,NA,106,363600,0.026,"africa",4698,6443655202262,1.5,"africa",1371687302
"45","Africa","OWID_AFR",2021,2021-02-22,2745898,2700632,68325,NA,122163,139843,0.2,0.2,0,NA,102,379595,0.028,"africa",4698,6443655202262,1.5,"africa",1371687302
"46","Africa","OWID_AFR",2021,2021-02-23,2854362,2799750,86927,NA,108464,126935,0.21,0.2,0.01,NA,92,393754,0.029,"africa",4698,6443655202262,1.5,"africa",1371687302
"47","Africa","OWID_AFR",2021,2021-02-24,3151789,3091099,102499,NA,297427,143447,0.23,0.23,0.01,NA,104,434852,0.032,"africa",4698,6443655202262,1.5,"africa",1371687302
"48","Africa","OWID_AFR",2021,2021-02-25,3435126,3367981,119792,NA,283337,161589,0.25,0.25,0.01,NA,118,473967,0.035,"africa",4698,6443655202262,1.5,"africa",1371687302
"49","Africa","OWID_AFR",2021,2021-02-26,3677781,3557825,183604,NA,242655,166249,0.27,0.26,0.01,NA,121,152893,0.011,"africa",4698,6443655202262,1.5,"africa",1371687302
"50","Africa","OWID_AFR",2021,2021-02-27,3866524,3681069,252758,NA,188743,178508,0.28,0.27,0.02,NA,130,157025,0.011,"africa",4698,6443655202262,1.5,"africa",1371687302
"51","Africa","OWID_AFR",2021,2021-02-28,3874251,3688796,255982,NA,7727,178645,0.28,0.27,0.02,NA,130,157162,0.011,"africa",4698,6443655202262,1.5,"africa",1371687302
"52","Africa","OWID_AFR",2021,2021-03-01,4092105,3834895,330257,NA,217854,192315,0.3,0.28,0.02,NA,140,162038,0.012,"africa",4698,6443655202262,1.5,"africa",1371687302
"53","Africa","OWID_AFR",2021,2021-03-02,4253030,3934943,394124,NA,160925,199810,0.31,0.29,0.03,NA,145,162170,0.012,"africa",4698,6443655202262,1.5,"africa",1371687302
"54","Africa","OWID_AFR",2021,2021-03-03,4424425,4039134,468861,NA,171395,181805,0.32,0.29,0.03,NA,132,135434,0.01,"africa",4698,6443655202262,1.5,"africa",1371687302
"55","Africa","OWID_AFR",2021,2021-03-04,4570416,4132764,529681,NA,145991,162184,0.33,0.3,0.04,NA,118,109255,0.008,"africa",4698,6443655202262,1.5,"africa",1371687302
"56","Africa","OWID_AFR",2021,2021-03-05,4808377,4283815,624742,NA,237961,161514,0.35,0.31,0.05,NA,118,103713,0.008,"africa",4698,6443655202262,1.5,"africa",1371687302
"57","Africa","OWID_AFR",2021,2021-03-06,5013434,4409872,705135,NA,205057,163844,0.37,0.32,0.05,NA,119,104115,0.008,"africa",4698,6443655202262,1.5,"africa",1371687302
"58","Africa","OWID_AFR",2021,2021-03-07,5054444,4450882,705135,NA,41010,168599,0.37,0.32,0.05,NA,123,108869,0.008,"africa",4698,6443655202262,1.5,"africa",1371687302
"59","Africa","OWID_AFR",2021,2021-03-08,5402720,4724802,779759,NA,348276,187231,0.39,0.34,0.06,NA,136,127130,0.009,"africa",4698,6443655202262,1.5,"africa",1371687302
"60","Africa","OWID_AFR",2021,2021-03-09,5543143,4799463,850734,NA,140423,184302,0.4,0.35,0.06,NA,134,123503,0.009,"africa",4698,6443655202262,1.5,"africa",1371687302
"61","Africa","OWID_AFR",2021,2021-03-10,5883345,5002177,1010055,NA,340202,208417,0.43,0.36,0.07,NA,152,137578,0.01,"africa",4698,6443655202262,1.5,"africa",1371687302
"62","Africa","OWID_AFR",2021,2021-03-11,6071753,5072638,1137129,NA,188408,214477,0.44,0.37,0.08,NA,156,134268,0.01,"africa",4698,6443655202262,1.5,"africa",1371687302
"63","Africa","OWID_AFR",2021,2021-03-12,6381772,5129777,1397210,NA,310019,224771,0.46,0.37,0.1,NA,164,120852,0.009,"africa",4698,6443655202262,1.5,"africa",1371687302
"64","Africa","OWID_AFR",2021,2021-03-13,6785420,5286646,1644318,NA,403648,253141,0.49,0.38,0.12,NA,184,125253,0.009,"africa",4698,6443655202262,1.5,"africa",1371687302
"65","Africa","OWID_AFR",2021,2021-03-14,6801943,5303169,1644318,NA,16523,249643,0.5,0.39,0.12,NA,182,121755,0.009,"africa",4698,6443655202262,1.5,"africa",1371687302
"66","Africa","OWID_AFR",2021,2021-03-15,7194978,5400064,1942667,NA,393035,256037,0.52,0.39,0.14,NA,186,96466,0.007,"africa",4698,6443655202262,1.5,"africa",1371687302
"67","Africa","OWID_AFR",2021,2021-03-16,7430457,5441219,2146524,NA,235479,269616,0.54,0.4,0.16,NA,196,91679,0.007,"africa",4698,6443655202262,1.5,"africa",1371687302
"68","Africa","OWID_AFR",2021,2021-03-17,7632156,5487833,2312736,NA,201699,249830,0.56,0.4,0.17,NA,182,69379,0.005,"africa",4698,6443655202262,1.5,"africa",1371687302
"69","Africa","OWID_AFR",2021,2021-03-18,7819596,5675022,2321849,NA,187440,249692,0.57,0.41,0.17,NA,182,86055,0.006,"africa",4698,6443655202262,1.5,"africa",1371687302
"70","Africa","OWID_AFR",2021,2021-03-19,8102429,5746851,2563824,NA,282833,245808,0.59,0.42,0.19,NA,179,88153,0.006,"africa",4698,6443655202262,1.5,"africa",1371687302
"71","Africa","OWID_AFR",2021,2021-03-20,8194788,5768178,2634856,NA,92359,201338,0.6,0.42,0.19,NA,147,68790,0.005,"africa",4698,6443655202262,1.5,"africa",1371687302
"72","Africa","OWID_AFR",2021,2021-03-21,8216336,5789726,2634856,NA,21548,202056,0.6,0.42,0.19,NA,147,69508,0.005,"africa",4698,6443655202262,1.5,"africa",1371687302
"73","Africa","OWID_AFR",2021,2021-03-22,8338577,5818325,2728498,NA,122241,163371,0.61,0.42,0.2,NA,119,59752,0.004,"africa",4698,6443655202262,1.5,"africa",1371687302
"74","Africa","OWID_AFR",2021,2021-03-23,8484800,5892540,2820695,NA,146223,150620,0.62,0.43,0.21,NA,110,64474,0.005,"africa",4698,6443655202262,1.5,"africa",1371687302
"75","Africa","OWID_AFR",2021,2021-03-24,9420911,6573493,3089404,NA,936111,255536,0.69,0.48,0.22,NA,186,155094,0.011,"africa",4698,6443655202262,1.5,"africa",1371687302
"76","Africa","OWID_AFR",2021,2021-03-25,9709302,6633967,3329642,NA,288391,269958,0.71,0.48,0.24,NA,197,136992,0.01,"africa",4698,6443655202262,1.5,"africa",1371687302
"77","Africa","OWID_AFR",2021,2021-03-26,9977830,6739396,3503614,NA,268528,267914,0.73,0.49,0.26,NA,195,141792,0.01,"africa",4698,6443655202262,1.5,"africa",1371687302
"78","Africa","OWID_AFR",2021,2021-03-27,10303667,6963287,3606163,NA,325837,301268,0.75,0.51,0.26,NA,219,170730,0.012,"africa",4698,6443655202262,1.5,"africa",1371687302
"79","Africa","OWID_AFR",2021,2021-03-28,10562516,7219473,3608826,NA,258849,335169,0.77,0.53,0.26,NA,244,204250,0.015,"africa",4698,6443655202262,1.5,"africa",1371687302
"80","Africa","OWID_AFR",2021,2021-03-29,10775431,7306239,3743035,NA,212915,348122,0.78,0.53,0.27,NA,253,212559,0.015,"africa",4698,6443655202262,1.5,"africa",1371687302
"81","Africa","OWID_AFR",2021,2021-03-30,10972216,7387591,3870510,NA,196785,355345,0.8,0.54,0.28,NA,259,213579,0.016,"africa",4698,6443655202262,1.5,"africa",1371687302
"82","Africa","OWID_AFR",2021,2021-03-31,11476248,7745077,3995049,NA,504032,293620,0.84,0.56,0.29,NA,214,167369,0.012,"africa",4698,6443655202262,1.5,"africa",1371687302
"83","Africa","OWID_AFR",2021,2021-04-01,11729825,7901390,4097537,NA,253577,288646,0.85,0.58,0.3,NA,210,181060,0.013,"africa",4698,6443655202262,1.5,"africa",1371687302
"84","Africa","OWID_AFR",2021,2021-04-02,11883589,7978373,4174318,NA,153764,272251,0.87,0.58,0.3,NA,198,176997,0.013,"africa",4698,6443655202262,1.5,"africa",1371687302
"85","Africa","OWID_AFR",2021,2021-04-03,12018828,8061917,4226013,NA,135239,245023,0.88,0.59,0.31,NA,178,156947,0.011,"africa",4698,6443655202262,1.5,"africa",1371687302
"86","Africa","OWID_AFR",2021,2021-04-04,12082780,8132039,4226289,NA,63952,217181,0.88,0.59,0.31,NA,158,130367,0.009,"africa",4698,6443655202262,1.5,"africa",1371687302
"87","Africa","OWID_AFR",2021,2021-04-05,12236282,8227187,4285890,NA,153502,208693,0.89,0.6,0.31,NA,152,131564,0.01,"africa",4698,6443655202262,1.5,"africa",1371687302
"88","Africa","OWID_AFR",2021,2021-04-06,12575036,8521870,4333474,NA,338754,228974,0.92,0.62,0.32,NA,167,162040,0.012,"africa",4698,6443655202262,1.5,"africa",1371687302
"89","Africa","OWID_AFR",2021,2021-04-07,12960258,8839889,4399278,NA,385222,212001,0.94,0.64,0.32,NA,154,156402,0.011,"africa",4698,6443655202262,1.5,"africa",1371687302
"90","Africa","OWID_AFR",2021,2021-04-08,13685750,9528531,4443032,NA,725492,279418,1,0.69,0.32,NA,203,232449,0.017,"africa",4698,6443655202262,1.5,"africa",1371687302
"91","Africa","OWID_AFR",2021,2021-04-09,13840825,9655739,4477593,NA,155075,279605,1.01,0.7,0.33,NA,204,239624,0.017,"africa",4698,6443655202262,1.5,"africa",1371687302
"92","Africa","OWID_AFR",2021,2021-04-10,14000751,9777098,4516916,NA,159926,283132,1.02,0.71,0.33,NA,206,245026,0.018,"africa",4698,6443655202262,1.5,"africa",1371687302
"93","Africa","OWID_AFR",2021,2021-04-11,14150137,9912181,4531219,NA,149386,295337,1.03,0.72,0.33,NA,215,254306,0.019,"africa",4698,6443655202262,1.5,"africa",1371687302
"94","Africa","OWID_AFR",2021,2021-04-12,14259556,10023098,4533119,NA,109419,289039,1.04,0.73,0.33,NA,210,256559,0.019,"africa",4698,6443655202262,1.5,"africa",1371687302
"95","Africa","OWID_AFR",2021,2021-04-13,14372773,10125649,4546621,NA,113217,256820,1.05,0.74,0.33,NA,187,229111,0.017,"africa",4698,6443655202262,1.5,"africa",1371687302
"96","Africa","OWID_AFR",2021,2021-04-14,14720408,10461361,4558759,NA,347635,251450,1.07,0.76,0.33,NA,183,231639,0.017,"africa",4698,6443655202262,1.5,"africa",1371687302
