"","location","year","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","Population","GDP total","GDP per capita growth (%)"
"1","World",2020,2020-12-01,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,7794798729,125876667272255,-4.41
"2","World",2020,2020-12-02,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,125876667272255,-4.41
"3","World",2020,2020-12-03,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,125876667272255,-4.41
"4","World",2020,2020-12-04,1,2,NA,NA,1,0,0,0,NA,NA,0,0,0,7794798729,125876667272255,-4.41
"5","World",2020,2020-12-05,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,125876667272255,-4.41
"6","World",2020,2020-12-06,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0,7794798729,125876667272255,-4.41
"7","World",2020,2020-12-07,2,3,NA,NA,1,0,0,0,NA,NA,0,0,0,7794798729,125876667272255,-4.41
"8","World",2020,2020-12-08,7,9,NA,NA,5,1,0,0,NA,NA,0,1,0,7794798729,125876667272255,-4.41
"9","World",2020,2020-12-09,9,11,NA,NA,2,1,0,0,NA,NA,0,1,0,7794798729,125876667272255,-4.41
"10","World",2020,2020-12-10,10,12,NA,NA,1,1,0,0,NA,NA,0,2,0,7794798729,125876667272255,-4.41
"11","World",2020,2020-12-11,14,16,NA,NA,4,2,0,0,NA,NA,0,2,0,7794798729,125876667272255,-4.41
"12","World",2020,2020-12-12,14,16,NA,NA,0,2,0,0,NA,NA,0,2,0,7794798729,125876667272255,-4.41
"13","World",2020,2020-12-13,24071,20379,4323,NA,24057,3439,0,0,0,NA,0,2911,0,7794798729,125876667272255,-4.41
"14","World",2020,2020-12-14,28499,24668,4422,NA,4428,4071,0,0,0,NA,1,3524,0,7794798729,125876667272255,-4.41
"15","World",2020,2020-12-15,1608542,102488,4646,NA,1580043,229791,0.02,0,0,NA,29,14640,0,7794798729,125876667272255,-4.41
"16","World",2020,2020-12-16,1772241,260729,5064,NA,163699,253176,0.02,0,0,NA,32,37245,0,7794798729,125876667272255,-4.41
"17","World",2020,2020-12-17,2050148,531592,5684,NA,277907,292877,0.03,0.01,0,NA,37,75940,0.001,7794798729,125876667272255,-4.41
"18","World",2020,2020-12-18,2470943,943573,6725,NA,420795,352990,0.03,0.01,0,NA,45,134794,0.002,7794798729,125876667272255,-4.41
"19","World",2020,2020-12-19,2654067,1122698,7718,NA,183124,379150,0.03,0.01,0,NA,48,160383,0.002,7794798729,125876667272255,-4.41
"20","World",2020,2020-12-20,2767102,1233790,8410,NA,113035,391862,0.04,0.02,0,NA,50,173344,0.002,7794798729,125876667272255,-4.41
"21","World",2020,2020-12-21,3181753,1641929,9568,NA,414651,450465,0.04,0.02,0,NA,57,231037,0.003,7794798729,125876667272255,-4.41
"22","World",2020,2020-12-22,3706121,2157787,11983,NA,524368,299654,0.05,0.03,0,NA,38,293614,0.004,7794798729,125876667272255,-4.41
"23","World",2020,2020-12-23,4397285,2836802,14241,NA,691164,375006,0.06,0.04,0,NA,48,368010,0.005,7794798729,125876667272255,-4.41
"24","World",2020,2020-12-24,4693554,3128014,15233,NA,296269,377629,0.06,0.04,0,NA,48,370917,0.005,7794798729,125876667272255,-4.41
"25","World",2020,2020-12-25,4752989,3187307,15326,NA,59435,326007,0.06,0.04,0,NA,41,320533,0.004,7794798729,125876667272255,-4.41
"26","World",2020,2020-12-26,4932952,3363645,16038,NA,179963,325555,0.06,0.04,0,NA,41,320135,0.004,7794798729,125876667272255,-4.41
"27","World",2020,2020-12-27,5193826,3627252,16686,NA,260874,346675,0.07,0.05,0,NA,44,341923,0.004,7794798729,125876667272255,-4.41
"28","World",2020,2020-12-28,5974199,4392797,19951,NA,780373,398921,0.08,0.06,0,NA,51,392981,0.005,7794798729,125876667272255,-4.41
"29","World",2020,2020-12-29,6962863,5370790,25004,1,988664,465249,0.09,0.07,0,0,59,459000,0.006,7794798729,125876667272255,-4.41
"30","World",2020,2020-12-30,8125053,6525898,31079,1,1162190,532538,0.1,0.08,0,0,68,527014,0.007,7794798729,125876667272255,-4.41
"31","World",2020,2020-12-31,11851551,7217395,33897,1,3726498,1022571,0.15,0.09,0,0,130,584197,0.007,7794798729,125876667272255,-4.41
"32","World",2021,2021-01-01,12060609,7421200,39653,3,209058,1043946,0.15,0.09,0,0,133,604842,0.008,7874965732,133280188232825,4.8
"33","World",2021,2021-01-02,13244711,8604197,42455,3,1184102,1187394,0.17,0.11,0,0,151,748650,0.01,7874965732,133280188232825,4.8
"34","World",2021,2021-01-03,13609946,8967536,44812,5,365235,1202303,0.17,0.11,0,0,153,762898,0.01,7874965732,133280188232825,4.8
"35","World",2021,2021-01-04,14744638,10038170,89988,5,1134692,1252920,0.19,0.13,0,0,159,806482,0.01,7874965732,133280188232825,4.8
"36","World",2021,2021-01-05,16862599,11241245,177967,5,2117961,1414248,0.21,0.14,0,0,180,838636,0.011,7874965732,133280188232825,4.8
"37","World",2021,2021-01-06,18418794,12485016,352682,5,1556195,1470534,0.23,0.16,0,0,187,851303,0.011,7874965732,133280188232825,4.8
"38","World",2021,2021-01-07,20202382,13918497,634343,5,1783588,1192976,0.26,0.18,0.01,0,151,957300,0.012,7874965732,133280188232825,4.8
"39","World",2021,2021-01-08,22092863,15304612,998028,6,1890481,1433179,0.28,0.19,0.01,0,182,1126202,0.014,7874965732,133280188232825,4.8
"40","World",2021,2021-01-09,27554905,16009351,1127935,7,5462042,2044313,0.35,0.2,0.01,0,260,1057879,0.013,7874965732,133280188232825,4.8
"41","World",2021,2021-01-10,30759872,19513779,1844142,7,3204967,2449989,0.39,0.25,0.02,0,311,1506606,0.019,7874965732,133280188232825,4.8
"42","World",2021,2021-01-11,32625091,20913324,2205723,8,1865219,2554350,0.41,0.27,0.03,0,324,1553593,0.02,7874965732,133280188232825,4.8
"43","World",2021,2021-01-12,34804556,22590534,2573164,31,2179465,2563137,0.44,0.29,0.03,0,325,1621327,0.021,7874965732,133280188232825,4.8
"44","World",2021,2021-01-13,38611776,24865832,2920334,31,3807220,2884712,0.49,0.32,0.04,0,366,1768688,0.022,7874965732,133280188232825,4.8
"45","World",2021,2021-01-14,41517915,27144160,3138171,33,2906139,3045076,0.53,0.34,0.04,0,387,1889380,0.024,7874965732,133280188232825,4.8
"46","World",2021,2021-01-15,44382650,29339056,3307087,33,2864735,3184255,0.56,0.37,0.04,0,404,2004921,0.025,7874965732,133280188232825,4.8
"47","World",2021,2021-01-16,46240748,30792617,3409963,33,1858098,2669406,0.59,0.39,0.04,0,339,2111895,0.027,7874965732,133280188232825,4.8
"48","World",2021,2021-01-17,47415015,31694361,3567946,34,1174267,2379306,0.6,0.4,0.05,0,302,1740083,0.022,7874965732,133280188232825,4.8
"49","World",2021,2021-01-18,49843313,33498259,3964431,35,2428298,2459746,0.63,0.43,0.05,0,312,1797848,0.023,7874965732,133280188232825,4.8
"50","World",2021,2021-01-19,52855227,35691128,4545600,36,3011914,2578667,0.67,0.45,0.06,0,327,1871513,0.024,7874965732,133280188232825,4.8
"51","World",2021,2021-01-20,61224612,38340007,5243983,39,8369385,3230405,0.78,0.49,0.07,0,410,1924882,0.024,7874965732,133280188232825,4.8
"52","World",2021,2021-01-21,64802685,41141080,5840734,40,3578073,3326396,0.82,0.52,0.07,0,422,1999560,0.025,7874965732,133280188232825,4.8
"53","World",2021,2021-01-22,68723490,44463639,6227686,40,3920805,3477263,0.87,0.56,0.08,0,442,2160655,0.027,7874965732,133280188232825,4.8
"54","World",2021,2021-01-23,71229480,46437416,6542968,41,2505990,3569819,0.9,0.59,0.08,0,453,2234971,0.028,7874965732,133280188232825,4.8
"55","World",2021,2021-01-24,72712610,47500202,6883266,41,1483130,3613942,0.92,0.6,0.09,0,459,2257977,0.029,7874965732,133280188232825,4.8
"56","World",2021,2021-01-25,75946134,49720373,7743834,42,3233524,3728974,0.96,0.63,0.1,0,474,2317445,0.029,7874965732,133280188232825,4.8
"57","World",2021,2021-01-26,79473931,51988823,8740353,45,3527797,3802672,1.01,0.66,0.11,0,483,2328242,0.03,7874965732,133280188232825,4.8
"58","World",2021,2021-01-27,91359953,54825368,9774223,45,11886022,4305049,1.16,0.7,0.12,0,547,2355052,0.03,7874965732,133280188232825,4.8
"59","World",2021,2021-01-28,95974162,58020625,10816577,45,4614209,4453068,1.22,0.74,0.14,0,565,2411364,0.031,7874965732,133280188232825,4.8
"60","World",2021,2021-01-29,100531268,61255164,11705948,45,4557106,4543968,1.28,0.78,0.15,0,577,2398789,0.03,7874965732,133280188232825,4.8
"61","World",2021,2021-01-30,103602676,63522639,12285401,45,3071408,4624742,1.32,0.81,0.16,0,587,2440746,0.031,7874965732,133280188232825,4.8
"62","World",2021,2021-01-31,106667323,64608965,12751311,45,3064647,4850673,1.35,0.82,0.16,0,616,2444109,0.031,7874965732,133280188232825,4.8
"63","World",2021,2021-02-01,110077626,66662294,13750431,46,3410303,4875927,1.4,0.85,0.17,0,619,2420274,0.031,7874965732,133280188232825,4.8
"64","World",2021,2021-02-02,113877133,68977337,14924459,74,3799507,4914743,1.45,0.88,0.19,0,624,2426931,0.031,7874965732,133280188232825,4.8
